N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,CODE
1177.0,삼성 China A50 선물 ETN(H),16320.0,0.0,0.00%,0.0,326.0,2000.0,0.0,1.0,,,530014
1178.0,KOSEF 릭소글로벌퓨처모빌리티MSCI,9590.0,5.0,+0.05%,0.0,326.0,3400.0,0.0,4345.0,,,394350
1179.0,TIGER 미국달러선물인버스2X,7370.0,90.0,+1.24%,0.0,324.0,4400.0,0.0,3945.0,,,261120
1180.0,QV S&P500 버퍼10% 9월 ETN,10780.0,0.0,0.00%,0.0,323.0,3000.0,0.0,0.0,,,550066
1181.0,메리츠 3X 레버리지 국채30년 ETN,53725.0,1815.0,+3.50%,0.0,322.0,600.0,0.0,12660.0,,,610061
1182.0,세방우,8660.0,0.0,0.00%,500.0,319.0,3689.0,11.66,21171.0,3.41,,004365
1183.0,HANARO 200선물레버리지,17225.0,265.0,+1.56%,0.0,319.0,1850.0,0.0,97.0,,,304780
1184.0,KTOP K200액티브,10080.0,55.0,+0.55%,0.0,318.0,3150.0,0.0,49576.0,,,451060
1185.0,KODEX 200IT TR,11680.0,275.0,+2.41%,0.0,315.0,2700.0,0.0,2563.0,,,363580
1186.0,체시스,980.0,6.0,-0.61%,500.0,314.0,32000.0,0.87,51625.0,-10.21,-15.16,033250
1187.0,대신343 K200,32955.0,230.0,+0.70%,0.0,313.0,950.0,0.0,638.0,,,434960
1188.0,TIGER 미국나스닥100커버드콜(합성),9485.0,50.0,-0.52%,0.0,313.0,3300.0,0.43,68115.0,,,441680
1189.0,HANARO Fn전기&수소차,8455.0,40.0,+0.48%,0.0,313.0,3700.0,0.0,4567.0,,,381560
1190.0,BYC우,145100.0,1100.0,+0.76%,5000.0,313.0,215.0,0.0,180.0,2.93,,001465
1191.0,한화투자증권우,6490.0,0.0,0.00%,5000.0,312.0,4800.0,0.62,6850.0,25.25,,003535
1192.0,미래에셋 인버스 2X 코스피200 선물 ETN,15465.0,180.0,-1.15%,0.0,309.0,2000.0,0.0,149654.0,,,520055
1193.0,미래에셋 레버리지 옥수수 선물 ETN,30715.0,115.0,+0.38%,0.0,307.0,1000.0,0.0,3.0,,,520046
1194.0,TIGER 탄소효율그린뉴딜,8080.0,55.0,+0.69%,0.0,307.0,3800.0,0.0,384.0,,,376410
1195.0,TIGER 미국나스닥100TR(H),10475.0,195.0,+1.90%,0.0,304.0,2900.0,1.75,36069.0,,,448300
1196.0,KODEX 미국달러선물인버스,8990.0,55.0,+0.62%,0.0,303.0,3370.0,0.05,32991.0,,,261270
1197.0,TIGER AI코리아그로스액티브,11595.0,60.0,+0.52%,0.0,301.0,2600.0,0.0,2020.0,,,365040
1198.0,TIGER 골드선물(H),13080.0,5.0,-0.04%,0.0,301.0,2300.0,0.0,11510.0,,,319640
1199.0,KODEX 헬스케어,11570.0,50.0,+0.43%,0.0,301.0,2600.0,0.0,10267.0,,,266420
1200.0,미래에셋 에너지화학 Core5 ETN,15010.0,0.0,0.00%,0.0,300.0,2000.0,0.0,0.0,,,520006
1201.0,삼성 레버리지 금 선물 ETN(H),29740.0,110.0,-0.37%,0.0,297.0,1000.0,0.0,2259.0,,,530055
1202.0,KBSTAR 내수주플러스,8250.0,105.0,+1.29%,0.0,297.0,3600.0,0.0,689.0,,,326230
1203.0,KBSTAR 200선물인버스2X,2795.0,25.0,-0.89%,0.0,296.0,10600.0,0.35,168460.0,,,252420
1204.0,SOL 미국S&P500ESG,10205.0,80.0,+0.79%,0.0,296.0,2900.0,0.0,4154.0,,,399110
1205.0,TIGER 미국나스닥100레버리지(합성),7975.0,180.0,+2.31%,0.0,295.0,3700.0,0.27,482366.0,,,418660
1206.0,녹십자홀딩스2우,34700.0,600.0,-1.70%,500.0,294.0,846.0,0.06,749.0,120.07,,005257
1207.0,TIGER S&P글로벌헬스케어(합성),19285.0,25.0,+0.13%,0.0,293.0,1520.0,0.0,5523.0,,,248270
1208.0,TIGER 200IT레버리지,37700.0,1395.0,+3.84%,0.0,292.0,775.0,0.0,7490.0,,,243880
1209.0,신한 콩 선물 ETN(H),14485.0,0.0,0.00%,0.0,290.0,2000.0,0.0,0.0,,,500023
1210.0,KODEX KRX300,15225.0,105.0,+0.69%,0.0,289.0,1900.0,0.0,954.0,,,292190
1211.0,ACE 200TR,20575.0,110.0,+0.54%,0.0,288.0,1400.0,100.0,1028.0,,,332500
1212.0,미래에셋 인버스 2X 코스닥150 선물 ETN,14325.0,405.0,-2.75%,0.0,286.0,2000.0,0.0,288391.0,,,520057
1213.0,ACE 미국친환경그린테마INDXX,10225.0,55.0,+0.54%,0.0,286.0,2800.0,0.0,6708.0,,,391600
1214.0,모두투어리츠,3655.0,35.0,+0.97%,5000.0,286.0,7827.0,0.18,8056.0,2.5,4.85,204210
1215.0,KODEX KRX기후변화솔루션,10100.0,160.0,+1.61%,0.0,283.0,2800.0,0.0,5847.0,,,404260
1216.0,KODEX 미디어&엔터테인먼트,14135.0,160.0,+1.14%,0.0,283.0,2000.0,0.0,24539.0,,,266360
1217.0,ARIRANG 미국장기우량회사채,85500.0,85.0,-0.10%,0.0,282.0,330.0,0.0,653.0,,,332620
1218.0,하나 레버리지 옥수수 선물 ETN(H),28130.0,100.0,+0.36%,0.0,281.0,1000.0,0.0,1.0,,,700011
1219.0,미래에셋 원유선물혼합 ETN(H),27950.0,145.0,+0.52%,0.0,280.0,1000.0,0.0,40.0,,,520010
1220.0,KODEX 고배당,9630.0,0.0,0.00%,0.0,279.0,2900.0,0.21,5410.0,,,279530
1221.0,신한 금 선물 ETN(H),13920.0,5.0,-0.04%,0.0,278.0,2000.0,0.0,498.0,,,500016
1222.0,HANARO 코스닥150,11125.0,150.0,+1.37%,0.0,278.0,2500.0,0.0,483.0,,,304770
1223.0,ACE 국고채3년,102700.0,145.0,+0.14%,0.0,277.0,270.0,0.0,1298.0,,,114460
1224.0,KODEX 아시아반도체공급망exChina액티브,10260.0,10.0,+0.10%,0.0,277.0,2700.0,0.0,355824.0,,,446690
